Guild: 1148361220940898305 | Channel: 1148365565006717088 | User: 1235606672408445051 | Pong! Latency is 46ms | 2024-05-02 15:07:42.059928
Guild: 1148361220940898305 | Channel: 1193906241966198814 | User: 1235606672408445051 | Role 'Head Admin' added to computerwiz541.. | 2024-05-07 10:50:41.484931
Guild: 1148361220940898305 | Channel: 1193906241966198814 | User: 204255221017214977 |  | 2024-05-07 10:51:33.872380
Guild: 1148361220940898305 | Channel: 1193906241966198814 | User: 204255221017214977 |  | 2024-05-07 10:52:05.903041
Guild: 1148361220940898305 | Channel: 1193906241966198814 | User: 1131695099756150844 |  | 2024-05-07 10:55:07.911468
Guild: 1148361220940898305 | Channel: 1193906241966198814 | User: 204255221017214977 |  | 2024-05-07 11:03:59.320061
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 1235606672408445051 | Pong! Latency is 24ms | 2024-05-08 13:34:02.388229
Guild: 1236750342926893196 | Channel: 1237146001689677965 | User: 1084262700080713768 |  | 2024-05-08 13:37:05.276899
Guild: 1236750342926893196 | Channel: 1237146001689677965 | User: 1084262700080713768 | And <@1235606672408445051> has incorect perms | 2024-05-08 13:37:14.904054
Guild: 1236750342926893196 | Channel: 1237146001689677965 | User: 1235606672408445051 | Pong! Latency is 26ms | 2024-05-08 13:37:21.232691
Guild: 1236750342926893196 | Channel: 1237146001689677965 | User: 1235606672408445051 | You do not have permission to use this command. | 2024-05-08 13:37:36.636118
Guild: 1236750342926893196 | Channel: 1237146001689677965 | User: 1235606672408445051 | Role 'Test' created with color #ffffff. | 2024-05-08 13:38:10.519692
Guild: 1236750342926893196 | Channel: 1237146001689677965 | User: 1235606672408445051 | Role 'Test' added to computerwiz541. | 2024-05-08 13:38:26.421435
Guild: 1236750342926893196 | Channel: 1237146001689677965 | User: 1235606672408445051 | Role 'Bot Maker' created with color #008080. | 2024-05-08 13:38:54.317227
Guild: 1236750342926893196 | Channel: 1237146001689677965 | User: 1235606672408445051 | Role 'Bot Maker' added to computerwiz541. | 2024-05-08 13:39:03.546480
Guild: 1236750342926893196 | Channel: 1237146001689677965 | User: 1235606672408445051 | I do not have permission to add roles. | 2024-05-08 13:39:16.726756
Guild: 1236750342926893196 | Channel: 1237146001689677965 | User: 1235606672408445051 | Invalid color format. Please use a hex color code (e.g., #RRGGBB). | 2024-05-08 13:40:55.898604
Guild: 1236750342926893196 | Channel: 1237146001689677965 | User: 1235606672408445051 | Role 'Annoying' created with color #ffa500. | 2024-05-08 13:41:14.380745
Guild: 1236750342926893196 | Channel: 1237146001689677965 | User: 1235606672408445051 | Role 'Annoying' added to atomtester. | 2024-05-08 13:41:22.413695
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 1084262700080713768 |  | 2024-05-08 13:41:37.693090
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 1084262700080713768 |  | 2024-05-08 13:42:00.542908
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 1084262700080713768 |  | 2024-05-08 13:43:00.521561
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 1084262700080713768 |  | 2024-05-08 13:43:04.896907
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 1084262700080713768 |  | 2024-05-08 13:43:29.439895
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 1084262700080713768 |  | 2024-05-08 13:43:50.356776
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 1084262700080713768 |  | 2024-05-08 13:43:55.306768
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 1084262700080713768 |  | 2024-05-08 13:44:19.344858
Guild: 1236750342926893196 | Channel: 1236755111712260149 | User: 1084262700080713768 |  | 2024-05-08 13:44:32.429681
